Throttle ,Thrust (g),Torque (N*n),Current (A),RPM,Power (W),Efficiency (g/w),Voltage
50%,400,0.080892594,2.9,3800,32.19,12.43,11.1
65%,650,0.121139648,5.6,4900,62.16,10.46,11.1
75%,830,0.157995815,7.9,5300,87.69,9.47,11.1
85%,1000,0.185495086,10.5,6000,116.55,8.58,11.1
100%,1100,0.208681972,12.6,6400,139.86,7.87,11.1
