Throttle ,Thrust (g),Torque (N*n),Current (A),RPM,Power (W),Efficiency (g/w),Voltage
50%,1940,0.530516477,10,4500,250,7.76,25
65%,2880,0.762268412,18.2,5700,455,6.33,25
75%,3530,0.962508465,25.4,6300,635,5.56,25
85%,4080,1.13899581,32.9,6900,823,4.96,25
100%,4560,1.317007154,39.7,7200,993,4.59,25
