Throttle ,Thrust (g),Torque (N*n),Current (A),RPM,Power (W),Efficiency (g/w),Voltage
50%,980,0.221,3.5,3133,84,11.67,24
55%,1191,0.266,4.6,3432,110,10.79,24
60%,1405,0.312,5.8,3707,139,10.09,24
65%,1662,0.365,7.3,4017,175,9.49,24
75%,2108,0.459,10.3,4538,247,8.53,24
85%,2634,0.57,14.2,5051,341,7.73,24
100%,3303,0.715,20.5,5680,492,6.71,24
