Throttle ,Thrust (g),Torque (N*n),Current (A),RPM,Power (W),Efficiency (g/w),Voltage
50%,5260,N/A,12.9,2635,645,8.16,50
65%,7770,N/A,23.3,3240,1165,6.67,50
75%,9400,N/A,33.1,3500,1655,5.68,50
85%,10950,N/A,43.2,3820,2160,5.07,50
100%,12670,N/A,56.8,4100,2840,4.46,50
,,,,,,,
,,,,,,,
