Throttle ,Thrust (g),Torque (N*n),Current (A),RPM,Power (W),Efficiency (g/w),Voltage
50%,2720,0.818511136,16.8,4900,420,6.48,25
65%,3850,1.305070533,29.5,5400,738,5.22,25
75%,4510,1.591549431,40,6000,1000,4.51,25
85%,5080,1.894701703,50,6300,1250,4.06,25
100%,5600,2.176677898,62,6800,1550,3.61,25
