Throttle ,Thrust (g),Torque (N*n),Current (A),RPM,Power (W),Efficiency (g/w),Voltage
50%,1861,0.576,3,1981,144,12.92,48
55%,2266,0.704,3.9,2188,187.2,12.1,48
60%,2692,0.841,5.1,2401,244.8,11,48
65%,3190,0.973,6.4,2597,307.2,10.38,48
75%,4268,1.302,9.6,2996,460.8,9.26,48
85%,5389,1.623,13.4,3356,643.2,8.38,48
100%,7375,2.219,21.4,3883,1027.2,7.18,48
