Throttle ,Thrust (g),Torque (N*n),Current (A),RPM,Power (W),Efficiency (g/w),Voltage
50%,990,0.21704187,4.3,4200,95.46,10.37,22.2
65%,1490,0.322068391,7.9,5200,175.38,8.5,22.2
75%,1900,0.431427168,11.6,5700,257.52,7.38,22.2
85%,220,0.495793318,14.5,6200,321.9,6.9,22.2
100%,2480,0.560969755,17.2,6500,381.84,6.49,22.2
