Throttle ,Thrust (g),Torque (N*n),Current (A),RPM,Power (W),Efficiency (g/w),Voltage
50%,460,0.085331073,3.2,5300,47.36,9.71,14.8
65%,710,0.130458083,6,6500,88.8,8,14.8
75%,870,0.154520351,8.2,7500,121.36,7.17,14.8
85%,1080,0.189588474,11,8200,162.8,6.63,14.8
100%,1230,0.211182145,13,8700,192.4,6.39,14.8
