Throttle ,Thrust (g),Torque (N*n),Current (A),RPM,Power (W),Efficiency (g/w),Voltage
50%,3065,1.092,5.1,1890,244.8,12.52,48
55%,3685,1.319,6.8,2073,326.4,11.29,48
60%,4314,1.535,8.5,2247,408,10.57,48
65%,5258,1.853,11.5,2469,552,9.53,48
75%,6875,2.446,17.4,2820,835.2,8.23,48
85%,8567,3.014,24,3113,1152,7.44,48
100%,10895,3.846,36.3,3503,1742.4,6.25,48
