Throttle ,Thrust (g),Torque (N*n),Current (A),RPM,Power (W),Efficiency (g/w),Voltage
50%,1280,0.346231806,8.4,3420,124,10.3,14.8
65%,2020,0.525211312,15.6,4200,231,8.75,14.8
75%,2500,0.663316731,21.8,4650,323,7.75,14.8
85%,2900,0.80326436,29,5100,429,6.76,14.8
100%,3240,0.910472971,34.6,5370,512,6.33,14.8
