Throttle ,Thrust (g),Torque (N*n),Current (A),RPM,Power (W),Efficiency (g/w),Voltage
50%,2250,0.682092613,12,4200,300,7.5,25
65%,3330,1.033894996,22.5,5200,563,5.92,25
75%,4050,1.233450809,31,6000,775,5.23,25
85%,4500,1.532508081,39.8,6200,995,4.52,25
100%,5060,1.693218559,47.5,6700,1188,4.26,25
