Throttle ,Thrust (g),Torque (N*n),Current (A),RPM,Power (W),Efficiency (g/w),Voltage
50%,550,0.124168139,4.1,3500,45.51,12.09,11.1
65%,890,0.181372973,7.7,4500,85.47,10.41,11.1
75%,1060,0.231463256,10.7,4900,118.77,8.92,11.1
85%,1300,0.279447143,14.5,5500,160.95,8.08,11.1
100%,1460,0.316164039,17.3,5800,192.03,7.6,11.1
