Throttle ,Thrust (g),Torque (N*n),Current (A),RPM,Power (W),Efficiency (g/w),Voltage
50%,1160,0.286478898,6.1,4500,135,8.57,22.2
65%,1870,0.43558195,11.7,5700,260,7.2,22.2
75%,2260,0.515358863,15.3,6300,340,6.65,22.2
85%,2690,0.644054748,20.8,6850,462,"5,83",22.2
100%,3030,0.721795107,24.7,7250,548,5.53,22.2
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
