Throttle ,Thrust (g),Torque (N*n),Current (A),RPM,Power (W),Efficiency (g/w),Voltage
50%,2126,0.688,3.4,1965,163.2,13.03,48
55%,2630,0.842,4.5,2166,216,12.2,48
60%,3120,1.001,5.9,2368,283.2,11.02,48
65%,3689,1.182,7.5,2563,360,10.25,48
75%,4958,1.581,11.3,2950,542.4,9.14,48
85%,6231,1.957,15.8,3300,758.4,8.22,48
100%,8305,2.623,24.6,3782,1180.8,7.03,48
