Throttle ,Thrust (g),Torque (N*n),Current (A),RPM,Power (W),Efficiency (g/w),Voltage
50%,730,0.135561035,4.7,4900,69.56,10.49,14.8
65%,1120,0.208519066,9,6100,133.2,8.41,14.8
75%,1400,0.255640287,12.3,6800,182.04,7.69,14.8
85%,1600,0.305577491,16,7400,236.8,6.76,14.8
100%,1800,0.349273126,19.4,7850,287.12,6.27,14.8
