Throttle ,Thrust (g),Torque (N*n),Current (A),RPM,Power (W),Efficiency (g/w),Voltage
50%,1600,0.371161339,9.3,5300,206,7.75,22.2
65%,2400,0.578745248,18,6600,400,6.01,22.2
75%,3060,0.723200061,25.6,7500,568,5.38,22.2
85%,3680,0.871225948,33.3,8100,739,4.98,22.2
100%,4100,0.993126845,39.8,8500,884,4.64,22.2
