Throttle ,Thrust (g),Torque (N*n),Current (A),RPM,Power (W),Efficiency (g/w),Voltage
50%,1200,0.27219032,5.2,4050,115.44,10.4,22.2
65%,1750,0.410875714,9.4,4850,208.68,8.39,22.2
75%,2120,0.510356851,13,5400,288.6,7.35,22.2
85%,2650,0.612428221,16.9,5850,375.18,7.06,22.2
100%,2850,0.678382029,20,6250,444,6.42,22.2
