Throttle ,Thrust (g),Torque (N*n),Current (A),RPM,Power (W),Efficiency (g/w),Voltage
50%,800,0.167623467,3.4,4300,75.48,10.6,22.2
65%,1200,0.247326782,6.3,5400,139.86,8.58,22.2
75%,1500,0.305415638,8.5,5900,188.7,7.95,22.2
85%,1820,0.371805535,11.4,6500,253.08,7.19,22.2
100%,2030,0.417888211,13.7,6950,304.14,6.67,22.2
