Throttle ,Thrust (g),Torque (N*n),Current (A),RPM,Power (W),Efficiency (g/w),Voltage
50%,1267,0.309,4.8,2992,115,11,24
55%,1549,0.37,6.3,3271,151,10.24,24
60%,1907,0.454,8.4,3620,202,9.46,24
65%,2124,0.513,10.05,3843,241,8.81,24
75%,2717,0.639,14.24,4309,342,7.95,24
85%,3281,0.785,19.4,4779,466,7.05,24
100%,4078,0.973,27.4,5263,658,6.2,24
