Throttle ,Thrust (g),Torque (N*n),Current (A),RPM,Power (W),Efficiency (g/w),Voltage
50%,1100,0.286478898,7.1,3500,105,10.47,14.8
65%,1720,0.42416643,12.9,4300,191,9.01,14.8
75%,2190,0.533981074,18.5,4900,274,8,14.8
85%,2600,0.659441991,24.7,5300,366,7.11,14.8
100%,3000,0.758525686,30.3,5640,448,6.69,14.8
