Throttle ,Thrust (g),Torque (N*n),Current (A),RPM,Power (W),Efficiency (g/w),Voltage
50%,1800,0.428782141,10.3,5100,229,7.87,22.2
65%,2600,0.666910552,19.5,6200,433,6.01,22.2
75%,3220,0.825092731,26.6,6840,591,5.45,22.2
85%,3860,1.005121379,35.2,7420,781,4.94,22.2
100%,4620,1.274831094,48.1,8000,1068,4.33,22.2
