Throttle ,Thrust (g),Torque (N*n),Current (A),RPM,Power (W),Efficiency (g/w),Voltage
50%,2260,0.668450761,14,5000,350,6.46,25
65%,3450,1.015408537,25.5,6000,638,5.41,25
75%,4020,1.239983288,34.8,6700,870,4.62,25
85%,4790,1.476162097,44.5,7200,1113,4.31,25
100%,5070,1.664844471,53,7600,1325,3.83,25
