Throttle ,Thrust (g),Torque (N*n),Current (A),RPM,Power (W),Efficiency (g/w),Voltage
50%,2768,0.937,4.5,1915,216,12.81,48
55%,3364,1.135,5.9,2108,283.2,11.88,48
60%,4065,1.355,7.8,2305,374.4,10.86,48
65%,4815,1.616,10.1,2513,484.8,9.93,48
75%,6221,2.104,14.9,2864,715.2,8.7,48
85%,7786,2.618,20.7,3109,993.6,7.84,48
100%,10080,3.41,31.9,3602,1531.2,6.58,48
