Throttle ,Thrust (g),Torque (N*n),Current (A),RPM,Power (W),Efficiency (g/w),Voltage
50%,2515,0.83,4,1953,192,13.1,48
55%,2994,0.998,5.3,2135,254.4,11.77,48
60%,3585,1.194,6.9,2338,331.2,10.82,48
65%,4278,1.412,8.7,2535,417.6,10.24,48
75%,5612,1.838,13,2898,624,8.99,48
85%,7078,2.317,18.4,3238,883.2,8.01,48
100%,9315,3.068,28.3,3696,1358.4,6.86,48
