Throttle ,Thrust (g),Torque (N*n),Current (A),RPM,Power (W),Efficiency (g/w),Voltage
50%,1350,0.339996933,7.3,4550,162,8.33,22.2
65%,2130,0.524343194,13.6,5500,302,7.05,22.2
75%,2630,0.657309915,18.6,6000,413,6.37,22.2
85%,3050,0.782896529,24.2,6550,537,5.68,22.2
100%,3360,0.881579989,28.7,6900,637,5.27,22.2
