Throttle ,Thrust (g),Torque (N*n),Current (A),RPM,Power (W),Efficiency (g/w),Voltage
50%,4590,none provided by site,10.1,2860,505,9.09,50
65%,6700,none provided by site,18.3,3600,915,7.32,50
75%,8110,none provided by site,25,3900,1250,6.49,50
85%,9640,none provided by site,33.5,4300,1675,5.76,50
100%,12420,none provided by site,47.4,4600,2370,5.24,50
,,,,,,,
,,,,,,,
