Throttle ,Thrust (g),Torque (N*n),Current (A),RPM,Power (W),Efficiency (g/w),Voltage
50%,580,0.107410488,3.8,5000,56.24,10.31,14.8
65%,880,0.166006184,7.4,6300,109.52,8.04,14.8
75%,1100,0.199410243,10.3,7300,152.44,7.22,14.8
85%,1360,0.25696289,14,7700,207.2,6.56,14.8
100%,1600,0.286064711,16.8,8300,248.64,6.44,14.8
