Throttle ,Thrust (g),Torque (N*n),Current (A),RPM,Power (W),Efficiency (g/w),Voltage
50%,5090,N/A,11.8,2760,590,8.63,50
65%,7480,N/A,21.3,3300,1065,7.02,50
75%,9140,N/A,30.4,3600,1520,6.01,50
85%,10540,N/A,40,3960,2000,5.27,50
100%,12340,N/A,53,4300,2650,4.66,50
,,,,,,,
,,,,,,,
