Throttle ,Thrust (g),Torque (N*n),Current (A),RPM,Power (W),Efficiency (g/w),Voltage
50%,350,0.066248245,2.5,4000,27.75,12.61,11.1
65%,550,0.103833984,4.8,4900,53.28,10.32,11.1
75%,700,0.127196631,6.6,5500,73.26,9.56,11.1
85%,870,0.153107055,9.1,6300,101.01,8.61,11.1
100%,1000,0.178268005,11.1,6600,123.21,8.12,11.1
