Throttle ,Thrust (g),Torque (N*n),Current (A),RPM,Power (W),Efficiency (g/w),Voltage
50%,5020,N/A,10.5,2780,525,9.56,50
65%,7400,N/A,20.8,3400,1040,7.12,50
75%,8930,N/A,28.5,3800,1425,6.27,50
85%,10740,N/A,38,4100,1900,5.65,50
100%,12380,N/A,50.1,4450,2505,4.94,50
,,,,,,,
,,,,,,,
