Throttle ,Thrust (g),Torque (N*n),Current (A),RPM,Power (W),Efficiency (g/w),Voltage
40%,2561,0.81,4.63,1963,224,11.41,48
42%,2805,0.89,5.3,2078,257,10.92,48
44%,3085,0.97,6.08,2190,295,10.46,48
46%,3336,1.06,6.85,2310,332,10.04,48
48%,3556,1.13,7.53,2405,365,9.73,48
50%,3826,1.22,8.33,2498,404,9.46,48
52%,4080,1.28,9.14,2588,443,9.21,48
54%,4381,1.41,10.2,2696,495,8.85,48
56%,4655,1.48,11.19,2793,543,8.58,48
58%,4945,1.58,12.18,2883,591,8.37,48
60%,5240,1.67,13.27,2974,643,8.14,48
62%,5680,1.79,14.64,3099,710,8.01,48
64%,6093,1.9,15.85,3210,769,7.92,48
66%,6410,2.01,17.03,3306,826,7.76,48
68%,6935,2.12,18.91,3401,917,7.56,48
70%,7287,2.23,20.58,3493,999,7.3,48
75%,8092,2.53,23.98,3723,1164,6.95,48
80%,8948,2.81,28.57,3927,1387,6.45,48
90%,10816,3.4,39.23,4353,1904,5.68,48
100%,12617,4.04,52.07,4723,2529,4.99,48
