Throttle ,Thrust (g),Torque (N*n),Current (A),RPM,Power (W),Efficiency (g/w),Voltage
40%,2950,0.93,5.19,1934,252,11.72,48
42%,317,1.03,5.87,2039,284,11.31,48
44%,3400,1.08,6.34,2099,307,11.05,48
46%,3875,1.22,7.66,2267,372,10.42,48
48%,4158,1.32,8.49,2357,411,10.1,48
50%,4463,1.39,9.39,2451,456,9.79,48
52%,4759,1.49,10.27,2532,498,9.55,48
54%,5071,1.58,11.33,2622,550,9.22,48
56%,5477,1.7,12.6,2723,612,8.95,48
58%,5835,1.81,13.85,2821,673,8.67,48
60%,6195,1.92,15.18,2910,737,8.4,48
62%,6614,2.04,16.61,3026,807,8.19,48
64%,6921,2.14,17.97,3119,872,7.93,48
66%,7317,2.27,19.8,3220,962,7.6,48
68%,7799,2.4,21.5,3317,1044,7.46,48
70%,8137,2.52,23.25,3400,1130,7.2,48
75%,9124,2.8,27.63,3624,1342,6.79,48
80%,10137,3.09,32.46,3819,1577,6.42,48
90%,12007,3.68,43.47,4210,2113,5.68,48
100%,14159,4.33,57.27,4583,2783,5.08,48
